shakespeare,modern
It is offended .,It looks like you've offended it .
"See , it stalks away .","Look , it's going away ."
Stay !,Stay !
"I charge thee , speak !","I order you , speak !"
"How now , Horatio ?","What's going on , Horatio ?"
You tremble and look pale .,You're pale and trembling .
Is not this something more than fantasy ?,"You agree now that we're not imagining this , don't you ?"
What think you on 't ?,What do you think about it ?
"Before my God , I might not this believe Without the sensible and true avouch Of mine own eyes .","I swear to God , if I hadn't seen this with my own eyes I'd never believe it ."
Is it not like the king ?,Doesn't it look like the king ?
As thou art to thyself .,"Yes , as much as you look like yourself ."
Such was the very armour he had on When he the ambitious Norway combated .,The king was wearing exactly this armor when he fought the king of Norway .
"So frowned he once when , in an angry parle , He smote the sledded Polacks on the ice .","And the ghost frowned just like the king did once when he attacked the Poles , traveling on the ice in sleds ."
Tis strange .,It's weird .
"And I do think , or else this brain of mine Hunts not the trail of policy so sure As it hath used to do , that I have found The very cause of Hamlet's lunacy .","And I believe , unless this brain of mine is not so politically cunning as it used to be , that I've found out why Hamlet's gone crazy ."
"Oh , speak of that .",Tell me !
That do I long to hear .,I want very much to find out .
Give first admittance to th ' ambassadors .,"All right , but first let the ambassadors speak ."
My news shall be the fruit to that great feast .,"Then you can hear my news , as dessert ."
"Thyself do grace to them , and bring them in .",Then be so kind as to show them in .
"He tells me , my dear Gertrude , he hath found The head and source of all your son's distemper .","Gertrude , he says he's found out the reason for your son's insanity ."
I doubt it is no other but the main : His father's death and our o'erhasty marriage .,I doubt it's anything but the obvious reason : his father's dying and our quick marriage .
"Well , we shall sift him. , Welcome , my good friends !","Welcome , my good friends ."
"Say , Voltemand , what from our brother Norway ?","Tell me , Voltemand , what's the news from the king of Norway ?"
"Whereat grieved , That so his sickness , age , and impotence Was falsely borne in hand , sends out arrests On Fortinbras , which he , in brief , obeys , Receives rebuke from Norway , and in fine Makes vow before his uncle never more To give th ' assay of arms against your majesty .","He was very upset that Fortinbras had taken advantage of his being old and sick to deceive him , and he ordered Fortinbras's arrest ."
"Whereon old Norway , overcome with joy ,",Fortinbras swore never to threaten Denmark again .
"Gives him three thousand crowns in annual fee And his commission to employ those soldiers , So levied as before , against the Polack , With an entreaty , herein further shown , That it might please you to give quiet pass Through your dominions for this enterprise , On such regards of safety and allowance As therein are set down .","The old king was so overjoyed by this promise that he gave young Fortinbras an annual income of three thousand I like this news , and when I have time I'll read this and think about how to reply ."
Meantime we thank you for your well-took labor .,"Meanwhile , thank you for your efforts ."
Go to your rest .,Go relax now .
At night we'll feast together .,Tonight we'll have dinner .
Most welcome home !,Welcome back !
This business is well ended .,"Well , that turned out well in the end ."
"My liege and madam , to expostulate What majesty should be , what duty is , Why day is day , night night , and time is time , Were nothing but to waste night , day , and time .","Sir and madam , to make grand speeches about what majesty is , what service is , or why day is day , night is night , and time is time is just a waste of a lot of day , night , and time ."
"Therefore , since brevity is the soul of wit And tediousness the limbs and outward flourishes , I will be brief : your noble son is mad .",Your son is crazy .
"Mad call I it , for , to define true madness , What is 't but to be nothing else but mad ?","Crazy"" I'm calling it , since how can you say what craziness is except to say that it's craziness ?"
But let that go .,But that's another story .
"Thus it remains , and the remainder thus .",Think about it .
"I have a daughter , have while she is mine , Who in her duty and obedience , mark , Hath given me this .","I have a daughter ( I have her until she gets married ) who's given me this letter , considering it her duty ."
"Good madam , stay a while .","Madam , please be patient ."
I will be faithful .,I'll read it to you .
"O dear Ophelia , I am ill at these numbers .","Oh , Ophelia , I'm bad at poetry ."
"I have not art to reckon my groans , but that I love thee best , oh , most best , believe it .","I can't put my feelings into verse , but please believe I love you best , oh , best of all ."
Adieu .,Believe it .
"Hamlet."" This in obedience hath my daughter shown me , And more above , hath his solicitings , As they fell out by time , by means , and place , All given to mine ear .","Hamlet."" Dutifully and obediently my daughter showed me this letter , and more like it ."
But how hath she received his love ?,And how did she react to all this ?
What do you think of me ?,"Sir , what is your opinion of me ?"
As of a man faithful and honorable .,I know you are loyal and honorable .
I would fain prove so .,I would like to prove to you that I am .
What might you think ?,"No , I had to do something ."
"No , I went round to work , And my young mistress thus I did bespeak : ""Lord Hamlet is a prince out of thy star .","And so I said to my daughter : ""Lord Hamlet is a prince , he's out of your league ."
"It may be , very like .","It may be , it certainly may be ."
"Hath there been such a time , I would fain know that , That I have positively said , ""'Tis so , "" When it proved otherwise ?","Has there ever been a time , I'd really like to know , when I've definitely said something was true , and it turned out not to be true ?"
Not that I know .,Not that I know of .
How may we try it further ?,What can we do to find out if it's true ?
You know sometimes he walks four hours together Here in the lobby .,"Well , you know he sometimes walks here in the lobby for four hours at a time ."
